obstacle_count,simulation_number,start_position,result,termination_reason,trajectory_length
9,7,3,target reached,goal_reached,65
9,7,4,target reached,goal_reached,66
9,7,5,target reached,goal_reached,66
9,7,6,target reached,goal_reached,66
9,7,7,target not reached,collision,36
9,7,8,target reached,goal_reached,67
9,7,9,target not reached,collision,53
9,7,10,target reached,goal_reached,65
9,7,11,target reached,goal_reached,66
9,7,12,target reached,goal_reached,67
9,8,1,target reached,goal_reached,66
9,8,2,target not reached,collision,42
9,8,3,target reached,goal_reached,65
9,8,4,target not reached,collision,31
9,8,5,target reached,goal_reached,66
9,8,6,target reached,goal_reached,66
9,8,7,target reached,goal_reached,65
9,8,8,target reached,goal_reached,67
9,8,9,target reached,goal_reached,66
9,8,10,target reached,goal_reached,65
9,8,11,target reached,goal_reached,72
9,8,12,target reached,goal_reached,66
9,9,1,target reached,goal_reached,67
9,9,2,target reached,goal_reached,65
9,9,3,target reached,goal_reached,65
9,9,4,target reached,goal_reached,65
9,9,5,target reached,goal_reached,66
9,9,6,target reached,goal_reached,67
9,9,7,target reached,goal_reached,69
9,9,8,target reached,goal_reached,68
9,9,9,target reached,goal_reached,65
9,9,10,target reached,goal_reached,67
9,9,11,target reached,goal_reached,68
9,9,12,target reached,goal_reached,70
9,10,1,target reached,goal_reached,66
9,10,2,target reached,goal_reached,65
9,10,3,target reached,goal_reached,67
9,10,4,target reached,goal_reached,65
9,10,5,target reached,goal_reached,67
9,10,6,target reached,goal_reached,65
9,10,7,target reached,goal_reached,67
9,10,8,target reached,goal_reached,73
9,10,9,target reached,goal_reached,65
9,10,10,target reached,goal_reached,69
9,10,11,target reached,goal_reached,69
9,10,12,target reached,goal_reached,65
9,11,1,target reached,goal_reached,65
9,11,2,target reached,goal_reached,65
9,11,3,target reached,goal_reached,65
9,11,4,target reached,goal_reached,66
9,11,5,target not reached,collision,49
9,11,6,target not reached,collision,48
9,11,7,target not reached,collision,32
9,11,8,target reached,goal_reached,65
9,11,9,target reached,goal_reached,67
9,11,10,target reached,goal_reached,65
9,11,11,target reached,goal_reached,71
9,11,12,target reached,goal_reached,66
9,12,1,target not reached,collision,32
9,12,2,target reached,goal_reached,65
9,12,3,target reached,goal_reached,65
9,12,4,target not reached,collision,38
9,12,5,target reached,goal_reached,66
9,12,6,target reached,goal_reached,65
9,12,7,target reached,goal_reached,66
9,12,8,target reached,goal_reached,67
9,12,9,target reached,goal_reached,68
9,12,10,target reached,goal_reached,65
9,12,11,target reached,goal_reached,66
9,12,12,target reached,goal_reached,72
9,13,1,target reached,goal_reached,71
9,13,2,target reached,goal_reached,67
9,13,3,target reached,goal_reached,65
9,13,4,target reached,goal_reached,65
9,13,5,target reached,goal_reached,65
9,13,6,target reached,goal_reached,66
9,13,7,target reached,goal_reached,68
9,13,8,target reached,goal_reached,66
9,13,9,target reached,goal_reached,65
9,13,10,target reached,goal_reached,65
9,13,11,target reached,goal_reached,74
9,13,12,target reached,goal_reached,66
9,14,1,target not reached,collision,47
9,14,2,target reached,goal_reached,66
9,14,3,target reached,goal_reached,68
9,14,4,target reached,goal_reached,66
9,14,5,target reached,goal_reached,66
9,14,6,target reached,goal_reached,65
9,14,7,target reached,goal_reached,67
9,14,8,target not reached,collision,38
9,14,9,target reached,goal_reached,67
9,14,10,target not reached,collision,15
9,14,11,target reached,goal_reached,66
9,14,12,target not reached,collision,52
9,15,1,target reached,goal_reached,65
9,15,2,target reached,goal_reached,67
9,15,3,target reached,goal_reached,65
9,15,4,target not reached,collision,24
9,15,5,target reached,goal_reached,67
9,15,6,target reached,goal_reached,65
9,15,7,target reached,goal_reached,67
9,15,8,target reached,goal_reached,67
9,15,9,target reached,goal_reached,65
9,15,10,target reached,goal_reached,66
9,15,11,target reached,goal_reached,68
9,15,12,target not reached,collision,41
9,16,1,target reached,goal_reached,65
9,16,2,target reached,goal_reached,65
9,16,3,target reached,goal_reached,66
9,16,4,target reached,goal_reached,65
9,16,5,target reached,goal_reached,66
9,16,6,target reached,goal_reached,69
9,16,7,target reached,goal_reached,66
9,16,8,target reached,goal_reached,69
9,16,9,target reached,goal_reached,69
9,16,10,target reached,goal_reached,66
9,16,11,target reached,goal_reached,66
9,16,12,target reached,goal_reached,65
9,17,1,target reached,goal_reached,67
9,17,2,target reached,goal_reached,65
9,17,3,target reached,goal_reached,69
9,17,4,target not reached,collision,31
9,17,5,target reached,goal_reached,66
9,17,6,target reached,goal_reached,66
9,17,7,target reached,goal_reached,66
9,17,8,target reached,goal_reached,70
9,17,9,target reached,goal_reached,65
9,17,10,target reached,goal_reached,65
9,17,11,target reached,goal_reached,68
9,17,12,target reached,goal_reached,65
9,18,1,target reached,goal_reached,65
9,18,2,target reached,goal_reached,66
9,18,3,target reached,goal_reached,66
9,18,4,target reached,goal_reached,65
9,18,5,target reached,goal_reached,66
9,18,6,target reached,goal_reached,66
9,18,7,target reached,goal_reached,66
9,18,8,target reached,goal_reached,70
9,18,9,target reached,goal_reached,66
9,18,10,target reached,goal_reached,66
9,18,11,target reached,goal_reached,65
9,18,12,target reached,goal_reached,66
9,19,1,target reached,goal_reached,65
9,19,2,target reached,goal_reached,66
9,19,3,target reached,goal_reached,66
9,19,4,target reached,goal_reached,65
9,19,5,target reached,goal_reached,65
9,19,6,target reached,goal_reached,68
9,19,7,target reached,goal_reached,66
9,19,8,target reached,goal_reached,68
9,19,9,target reached,goal_reached,65
9,19,10,target not reached,collision,37
9,19,11,target reached,goal_reached,72
9,19,12,target reached,goal_reached,67
9,20,1,target not reached,collision,53
9,20,2,target reached,goal_reached,67
9,20,3,target reached,goal_reached,67
9,20,4,target reached,goal_reached,65
9,20,5,target reached,goal_reached,67
9,20,6,target reached,goal_reached,66
9,20,7,target not reached,collision,49
9,20,8,target reached,goal_reached,67
9,20,9,target reached,goal_reached,70
9,20,10,target reached,goal_reached,65
9,20,11,target reached,goal_reached,66
9,20,12,target not reached,collision,50
12,1,1,target reached,goal_reached,65
12,1,2,target reached,goal_reached,65
12,1,3,target reached,goal_reached,67
12,1,4,target reached,goal_reached,66
12,1,5,target not reached,collision,37
12,1,6,target reached,goal_reached,68
12,1,7,target reached,goal_reached,67
12,1,8,target reached,goal_reached,67
12,1,9,target reached,goal_reached,66
12,1,10,target not reached,collision,34
12,1,11,target reached,goal_reached,67
12,1,12,target not reached,collision,48
12,2,1,target reached,goal_reached,66
12,2,2,target reached,goal_reached,65
12,2,3,target reached,goal_reached,66
12,2,4,target reached,goal_reached,66
12,2,5,target reached,goal_reached,66
12,2,6,target not reached,collision,46
12,2,7,target not reached,collision,51
12,2,8,target reached,goal_reached,69
12,2,9,target reached,goal_reached,67
12,2,10,target reached,goal_reached,65
12,2,11,target reached,goal_reached,65
12,2,12,target reached,goal_reached,66
12,3,1,target reached,goal_reached,66
12,3,2,target not reached,collision,38
12,3,3,target reached,goal_reached,66
12,3,4,target not reached,collision,32
12,3,5,target reached,goal_reached,65
12,3,6,target reached,goal_reached,66
12,3,7,target reached,goal_reached,67
12,3,8,target reached,goal_reached,70
12,3,9,target not reached,collision,47
12,3,10,target reached,goal_reached,66
12,3,11,target reached,goal_reached,72
12,3,12,target reached,goal_reached,66
12,4,1,target reached,goal_reached,65
12,4,2,target reached,goal_reached,65
12,4,3,target reached,goal_reached,67
12,4,4,target reached,goal_reached,66
12,4,5,target reached,goal_reached,67
